Category label,Category description,Category of illegal content / incompatible with the terms and conditions,Contextual information
Category 6c,Illegal incitement to violence and hatred based on protected characteristics (hate speech) ,KEYWORD_HATE_SPEECH,"This subcategory covers hate speech and related violations of our hateful activities Community Guidelines policy, including slurs, support for hate groups, hate-based conspiracies, attacks on protected groups and insensitive commentary about violence or discrimination against protected groups.

It also includes reports received through our European Union Illegal Content Reporting Form for “hate speech, hateful acts and discrimination""."
Category 6d,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 7,Intellectual property infringements,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,This category covers violations of our Intellectual Properties policies. It also includes violations of our Advertising Guidelines related to counterfeit goods.
Category 7a,Copyright infringements,KEYWORD_COPYRIGHT_INFRINGEMENT,This subcategory covers violations of our Copyright policy.
Category 7b,Design infringements,KEYWORD_DESIGN_INFRINGEMENT,
Category 7c,Geographical indications infringements,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,
Category 7d,Patent infringements,KEYWORD_PATENT_INFRINGEMENT,
Category 7e,Trade secret infringements,KEYWORD_TRADE_SECRET_INFRINGEMENT,
Category 7f,Trademark infringements,KEYWORD_TRADEMARK_INFRINGEMENT,"This subcategory covers violations of our Trademark policy, including counterfeit goods that are promoted, sold, or distributed using a trademark that is identical to, or substantially indistinguishable from, another’s trademark, without authorization from the trademark owner. It also includes violations of our Advertising Guidelines related to counterfeit goods."
Category 7g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 8,Negative effects on civic discourse or elections,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,"This category covers violations of our misinformation Community Guidelines policies related to misinformation, disinformation, mal-information or the individuals or groups spreading or creating it. This includes false or misleading content that may harm people’s safety, well-being or trust, including civic, health and climate misinformation and manipulated media. 

It also covers violations of our Advertising and Merchant Guidelines related to political campaigning and products and reports received through our European Union Illegal Content Reporting Form for ""disinformation""."
Category 8a,"Misinformation, disinformation, foreign information manipulation and interference ",KEYWORD_MISINFORMATION_DISINFORMATION,"This category covers violations of our misinformation policies related to misinformation, disinformation, mal-information or the individuals or groups spreading or creating it. This includes false or misleading content that may harm people’s safety, well-being or trust, including conspiracy theories, civic, health and climate misinformation and manipulated media. 

It also includes reports received through our European Union Illegal Content Reporting Form for ""disinformation""."
Category 8b,Violation of EU law relevant to civic discourse or elections ,KEYWORD_VIOLATION_EU_LAW,
Category 8c,Violation of national law relevant to civic discourse or elections ,KEYWORD_VIOLATION_NATIONAL_LAW,
Category 8d,Not captured by any other sub-category  ,KEYWORD_OTHER,This subcategory covers violations of our Advertising and Merchant Guidelines related to political campaigning and products.
Category 9,Protection of minors ,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,"This category covers violations of our child safety, private information and prohibited and regulated goods, services and activities Community Guidelines policies where minors are involved. We prohibit content and accounts that exploit or sexualize minors or expose them to dangerous behaviours, products or interactions. The category also includes age-based advertising restrictions and enforcement related to underage use.

Additionally, it includes reports received through our European Union Illegal Content Reporting Form for ""child sexual abuse material"" and ""harmful to minors"" and includes orders from EU Member States' authorities to provide information related to child endangerment and child sexual exploitation. "
Category 9a,Age-specific restrictions concerning minors,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,This subcategory covers violations of our Terms of Service related to underage users and violations of our Advertising Guidelines regarding age-gated advertising (such as alcohol) and certain restrictions on images of minors in advertising.
Category 9b,Child sexual abuse material,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,"This subcategory covers violations of our child safety Community Guidelines policy related to child sexual abuse material and other sexualized content involving minors, including sexualized imagery, inappropriate interactions and nudity.

It also includes reports received through our European Union Illegal Content Reporting Form for ""child sexual abuse material"" and orders from EU Member States' authorities to provide information related to child sexual exploitation."
Category 9c,Child sexual abuse material containing deepfake or similar technology,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,This subcategory covers violations of our child safety Community Guidelines policy related to synthetically generated content.
Category 9d,Grooming/sexual enticement of minors ,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,"This subcategory covers violations of our child safety Community Guidelines policy related to solicitation, sextortion and inappropriate interactions with minors, which includes (but is not limited to) grooming behaviours."
Category 9e,Unsafe challenges,KEYWORD_UNSAFE_CHALLENGES,"This subcategory covers violations of our prohibited and regulated goods, services and activities Community Guidelines policy related to harmful pranks or challenges that risk serious physical or emotional harm, especially when minors are depicted or encouraged to participate."
Category 9f,Not captured by any other sub-category  ,KEYWORD_OTHER,"This category covers enforcements taken under our child safety, private information and prohibited and regulated goods, services and activities Community Guidelines policies where minors are involved. We prohibit content and accounts that exploit or sexualize minors or expose them to dangerous behaviours, products or interactions. The category also includes age-based advertising restrictions and enforcement related to underage use.

Additionally, it covers content reported through our European Union Illegal Content Reporting Form as ""harmful to minors,"" encompassing the incitement of minors to undertake harmful or dangerous actions.

This category further includes orders from EU Member States' authorities to provide information related to child endangerment and child sexual exploitation. "
Category 10,Risk for public security ,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,"This category covers violations of our violent actors Community Guidelines policy related to dangerous and terrorist organisations, and certain violations of our Advertising Guidelines related to healthcare products and services that pose a risk for public health. 

It also includes reports received through our European Union Illegal Content Reporting Form for ""promoting or condoning terrorist acts"" and orders from EU Member States' authorities to provide information related to drug trafficking, extortion, missing persons and national security and orders to act against illegal content related to terrorist content."
Category 10a,Illegal organizations,KEYWORD_ILLEGAL_ORGANIZATIONS,This subcategory includes orders from EU Member States' authorities to provide information related to drug trafficking.
Category 10b,Risk for environmental damage,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,
Category 10c,Risk for public health,KEYWORD_RISK_PUBLIC_HEALTH,"This subcategory covers violations of our Advertising Guidelines related to healthcare products and services which include unsafe or misleading claims about disease prevention, cures or health advice."
Category 10d,Terrorist content,KEYWORD_TERRORIST_CONTENT,"This subcategory covers violations of our violent actors Community Guidelines policy related to terrorist organizations. 

It also includes reports received through our European Union Illegal Content Reporting Form for “promoting or condoning terrorist acts” and orders from EU Member States' authorities to act against illegal content related to terrorist content."
Category 10e,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers other violations of our Community Guidelines involving dangerous actors or groups, including content that praises, supports or provides aid to such actors or groups. 


It also includes orders from EU Member States' authorities to provide information related to extortion, missing persons and national security."
Category 11,Scams and/or fraud ,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,"This category covers violations of our spam and impersonation Community Guidelines policies, which prohibit accounts facilitating scams including those misappropriating the identity of a person or organization. 

It also includes violations of our Merchant Guidelines related to authenticity and scams.

Additionally, this category includes orders from EU Member States' authorities to provide information related to fraud."
Category 11a,Impersonation or account hijacking,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,"This subcategory covers violations of our Community Guidelines related to impersonation, including accounts that impersonate or misrepresent their affiliation with any person or organization. "
Category 11b,Inauthentic accounts,KEYWORD_INAUTHENTIC_ACCOUNTS,"This subcategory encompasses violations of our Community Guidelines, specifically under our spam policy, related to account attributes or behaviours that indicate potentially inauthentic activity, as well as merchant accounts that appear inauthentic, plagiarized or incomplete under our Merchant Guidelines. 

It also includes orders from EU Member States' authorities to provide information related to fraud."
Category 11c,Inauthentic listings,KEYWORD_INAUTHENTIC_LISTINGS,"This subcategory covers violations of our Community Guidelines, specifically under our spam policy, related to issues with listing attributes and characteristics."
Category 11d,Inauthentic user reviews,KEYWORD_INAUTHENTIC_USER_REVIEWS,
Category 11e,Phishing,KEYWORD_PHISHING,This subcategory covers violations of our spam Community Guidelines policy related to phishing activities.
Category 11f,Pyramid schemes,KEYWORD_PYRAMID_SCHEMES,
Category 11g,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers other spam-related violations of our spam Community Guidelines policy including spammy on-platform behaviour, off-platform violations involving links or redirects and problematic domains. It also includes Merchant Guideline violations related to product quality, pricing, delivery and returns where these issues are associated with scams or inauthentic activity."
Category 12,Self-harm,STATEMENT_CATEGORY_SELF_HARM,"This category covers violations of our self-injury and harmful behavior Community Guidelines policy, related to content that displays, rationalizes or encourages self-harm including suicide, self-injury, eating disorders or substance abuse.

This category also includes violations of our Merchant Guidelines related to body shaming through weight loss products.
"
Category 12a,Content promoting eating disorders,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,"This subcategory covers violations of our self-injury and harmful behavior Community Guidelines policy involving content that promotes or encourages eating disorders, including body-shaming weight loss products."
Category 12b,Self-mutilation,KEYWORD_SELF_MUTILATION,This subcategory covers violations of our self-injury and harmful behavior Community Guidelines policy related to self-harm.
Category 12c,Suicide,KEYWORD_SUICIDE,This subcategory covers violations of our self-injury and harmful behavior Community Guidelines policy related to suicide.
Category 12d,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers other violations of our self-injury and harmful behavior Community Guidelines policy that are not classified under eating disorders, self-harm or suicide."
Category 13,"Unsafe, non-compliant or prohibited products ",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,"This category covers violations of our prohibited and regulated goods, services and activities Community Guidelines policy and our violence and threats Community Guidelines policy involving dangerous or unlawful products, services and activities. It includes unauthorised sales of regulated substances, weapons, harmful or deceptive products, hacking tools, exploitative financial schemes, online gambling and similar content. 

It also includes violations of our Advertising and Merchant Guidelines regarding prohibited or restricted products, such as weapons, tobacco and alcohol. 

Additionally, this includes reports received through our European Union Illegal Content Reporting Form for ""illegal goods and services"", including the illegal sale of drugs and the illegal offer of services. "
Category 13a,Prohibited or restricted products,KEYWORD_PROHIBITED_PRODUCTS,"This subcategory covers violations of our violence and threats Community Guidelines policy and our prohibited and regulated goods, services and activities policy related to unauthorised sellers of regulated substances, weapons, online gambling and similar goods or services. It also includes related violations of our Merchant and Advertising Guidelines related to prohibited products. 

It also includes reports received through our European Union Illegal Content Reporting Form for “illegal goods and services”, including the illegal sale of drugs and the illegal offer of services. "
Category 13b,Unsafe or non-compliant products,KEYWORD_UNSAFE_PRODUCTS,"This subcategory covers violations of our prohibited and regulated goods, services and activities Community Guidelines policy related to harmful or deceptive products.

It also includes violations of our country-specific Advertising Guidelines where we restrict advertising of certain products in specific countries."
Category 13c,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers violations of our Community Guidelines' violence and threats policy and our prohibited and regulated goods, services and activities policy related to the glorification of weapons and use of regulated drugs.

It also includes violations of our Advertising Guidelines related to prohibited products."
Category 14,Violence ,STATEMENT_CATEGORY_VIOLENCE,"This category covers enforcements taken under our Community Guidelines' adult sexual content and nudity policy, violence and threats policy, prohibited and regulated goods, services and activities policy and violent actors policy. We remove or limit the distribution of content that depicts or glorifies violence, supports dangerous actors or groups or promotes exploitative labour or financial practices such as human trafficking and forced labour. 

Additionally, included in this category is content reported through our European Union Illegal Content Reporting Form for “graphic violence,” “denying or condoning crimes against humanity” and “threatening commission of or condoning serious criminal offense.” These categories include denial of genocides, war crimes and other crimes against humanity, gore/graphic wounds and mutilation, beatings, excessive blood, and corpses. It also includes threats to commit serious criminal offense against individuals or their condemnation.

This category also includes orders from EU Member States' authorities to provide information related to assault, domestic violence, human trafficking, kidnapping, murder and robbery. "
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,"This subcategory covers enforcements taken under our violent actors Community Guidelines policy involving content and accounts that provide aid to dangerous actors or groups and their activities. 

It also includes related orders from European Union Member States' authorities concerning serious crimes such as robbery."
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,"This subcategory covers violations of our Community Guidelines policies related to threats or language that glorifies violence.

It also includes content reported through our European Union Illegal Content Reporting Form for “threatening commission of or condoning serious criminal offense”. "
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,"This subcategory covers violations of our adult sexual content and nudity Community Guidelines policy related to sexual exploitation. It also covers our prohibited and regulated goods, services and activities Community Guidelines policy related to exploitative financial or labour practices, including human trafficking, slavery, servitude and forced or compulsory labour. 

Additionally, this subcategory includes orders from European Union Member States' authorities to provide information related to kidnapping."
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,"This subcategory covers violations of our prohibited and regulated goods, services, and activities Community Guidelines policy related to exploitative labour practices including human trafficking.

This subcategory also covers orders from EU Member States' authorities to provide information related to human trafficking. "
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Category 14f,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers other violations of our violence and threats and violent actors Community Guidelines policies, including content that shows the use of violence and content showing or purporting to show disturbing scenes from before, during, or after violent events. It also covers other violations of our Community Guidelines' prohibited and regulated goods, services and activities policy and our violence and threats policies not captured in the other subcategories.

It also includes reports received through our European Union Illegal Content Reporting Form for ""denying or condoning crimes against humanity"" and ""graphic violence"" and orders from EU Member States' authorities to provide information related to assault, domestic violence, and murder.  "
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,"This category covers violations of our Community Guidelines that are not already covered under other categories. In particular, this includes violations of our adult sexual content and nudity policy related to explicit or suggestive sexual content, visible intimate body parts and commercial sexual services.

This category also includes violations of our Advertising and Merchant Guidelines related to adult products and merchants which do not offer products directly, such as affiliated marketers or wholesale retailers.  "
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,"This subcategory covers violations of our Community Guidelines under our adult sexual content and nudity policy, as well as violations of our Advertising and Merchant Guidelines related to sexually explicit content."
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,This subcategory covers violations of our Merchant Guidelines related to merchants who operate from countries or regions that we do not currently support.
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,"This subcategory covers violations of our Advertising and Merchant Guidelines related to goods or services that are not permitted to be offered, or are restricted, on Pinterest."
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,This subcategory covers violations of our Advertising Guidelines related to country-specific language requirements.
Category 15f,Nudity,KEYWORD_NUDITY,This subcategory covers violations of our Community Guidelines under our adult sexual content and nudity policy related to nudity.
Category 15g,Not captured by any other sub-category  ,KEYWORD_OTHER,"This subcategory covers violations of our Advertising and Merchant Guidelines related to editorial quality standards for ads on Pinterest. 

It also includes violations of our Terms of Service related to misuse of our notices or complaints channels and enforcement actions taken against content or accounts of users located in the EU, where the enforcement action is based on a violation of law outside the EU and its Member States."
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,This category covers orders from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,"This category covers reports received via our European Union Illegal Content Reporting Form where the alleged illegality cannot be deduced from the information provided by the reporter. 

It also includes content reported through our European Union Illegal Content Reporting Form for ""nudity or pornography"" and ""other"". These categories include dissemination of pornographic content and behaviour that does not match any of the categories listed in the form. We have included these in this category because there is no other appropriate category available."
